x Value, Relative Error
0.292,-0.377002255384957
0.294,-0.387571266089966
0.296,-0.39816907032529
0.298,-0.40879478339935
0.3,-0.419447514622654
0.302,-0.430126367307804
0.304,-0.440830438769491
0.306,-0.4515588203245
0.308,-0.462310597291703
0.31,-0.473084848992066
0.312,-0.483880648748644
0.314,-0.494697063886585
0.316,-0.505533155733126
0.318,-0.516387979617596
0.32,-0.527260584871415
0.322,-0.538150014828094
0.324,-0.549055306823234
0.326,-0.559975492194528
0.328,-0.57090959628176
0.33,-0.581856638426805
0.332,-0.592815631973628
0.334,-0.603785584268286
0.336,-0.614765496658926
0.338,-0.625754364495787
0.34,-0.6367511771312
0.342,-0.647754917919583
0.344,-0.658764564217449
0.346,-0.6697790873834
0.348,-0.680797452778131
0.35,-0.691818619764424
0.352,-0.702841541707156
0.354,-0.713865165973292
0.356,-0.724888433931892
0.358,-0.735910280954102
0.36,-0.746929636413163
0.362,-0.757945423684403
0.364,-0.768956560145246
0.366,-0.779961957175202
0.368,-0.790960520155876
0.37,-0.801951148470961
0.372,-0.812932735506243
0.374,-0.823904168649597
0.376,-0.834864329290992
0.378,-0.845812092822485
0.38,-0.856746328638225
0.382,-0.867665900134452
0.384,-0.878569664709498
0.386,-0.889456473763784
0.388,-0.900325172699824
0.39,-0.911174600922221
0.392,-0.92200359183767
0.394,-0.932810972854958
0.396,-0.943595565384961
0.398,-0.954356184840647
0.4,-0.965091640637076
0.402,-0.975800736191396
0.404,-0.986482268922848
0.406,-0.997135030252766
0.408,-1.00775780560457
0.41,-1.01834937440378
0.412,-1.02890851007799
0.414,-1.0394339800569
0.416,-1.0499245457723
0.418,-1.06037896265807
0.42,-1.07079598015017
0.422,-1.08117434168666
0.424,-1.0915127847077
0.426,-1.10181004065553
0.428,-1.11206483497448
0.43,-1.12227588711096
0.432,-1.13244191051351
0.434,-1.14256161263271
0.436,-1.15263369492128
0.438,-1.16265685283399
0.44,-1.17262977582773
0.442,-1.18255114736146
0.444,-1.19241964489624
0.446,-1.20223393989523
0.448,-1.21199269782367
0.45,-1.22169457814889
0.452,-1.23133823434032
0.454,-1.24092231386946
0.456,-1.25044545820994
0.458,-1.25990630283743
0.46,-1.26930347722974
0.462,-1.27863560486674
0.464,-1.28790130323041
0.466,-1.29709918380479
0.468,-1.30622785207605
0.47,-1.31528590753243
0.472,-1.32427194366426
0.474,-1.33318454796397
0.476,-1.34202230192607
0.478,-1.35078378104717
0.48,-1.35946755482597
0.482,-1.36807218676325
0.484,-1.3765962343619
0.486,-1.38503824912689
0.488,-1.39339677656528
0.49,-1.40167035618622
0.492,-1.40985752150096
0.494,-1.41795680002283
0.496,-1.42596671326725
0.498,-1.43388577675175
0.5,-1.44171249999593
0.502,-1.44944538652148
0.504,-1.45708293385221
0.506,-1.46462363351399
0.508,-1.47206597103479
0.51,-1.47940842594467
0.512,-1.48664947177579
0.514,-1.4937875760624
0.516,-1.50082120034082
0.518,-1.50774880014948
0.52,-1.51456882502891
0.522,-1.52127971852171
0.524,-1.52787991817257
0.526,-1.5343678555283
0.528,-1.54074195613777
0.53,-1.54700063955195
0.532,-1.55314231932391
0.534,-1.5591654030088
0.536,-1.56506829216387
0.538,-1.57084938234845
0.54,-1.57650706312397
0.542,-1.58203971805395
0.544,-1.587445724704
0.546,-1.59272345464182
0.548,-1.59787127343719
